ID	bid	uid	res	dollar	summa
2237	127	113418	1	0	200
2236	126	113418	3	0	100
2235	125	113418	3	0	400
2234	124	113418	1	0	200
2233	122	113418	3	0	200
2232	114	227688	1	0	50
2231	114	448226	1	0	222
2243	122	439634	1	0	200
2229	114	113418	1	0	2000
2228	114	439634	1	0	15
2227	114	56712	3	0	250
2226	114	56712	1	0	250
2225	113	60610	2	0	9999
2224	114	70268	3	0	100
2223	113	56712	1	0	4000
2222	113	91785	1	0	4
2221	113	91785	1	0	2
2220	113	1832	3	0	100
2219	114	52157	3	0	250
2218	114	52157	1	0	250
2217	113	52157	1	0	500
2216	114	70268	1	0	200
2215	113	70268	1	0	200
2214	114	56712	2	0	2000
2213	113	56712	1	0	1000
2212	113	227688	1	0	20
2211	114	448226	1	0	300
2210	113	448226	1	0	222
2209	114	461666	3	0	1
2208	113	117615	1	0	50
2207	114	117615	3	0	50
2206	114	227688	1	0	10
2205	113	227688	1	0	10
2204	114	86030	1	0	1333
2203	113	86030	3	0	2222
2202	113	448226	1	0	333
2201	114	448226	1	0	666
2200	114	448226	1	0	666
2199	114	113418	1	0	600
2167	103	439634	2	0	20
2166	103	11507	3	0	5
2165	102	11507	1	0	40
2198	113	113418	1	0	1600
2152	101	452796	3	0	6
2197	114	68501	1	0	4995
2196	114	68501	1	0	5
2195	113	68501	1	0	9000
2178	103	113418	3	0	300
2177	103	118666	3	0	300
2146	103	227688	3	0	10
2145	100	227688	3	0	10
2144	103	52157	3	0	50
2143	102	52157	1	0	50
2142	101	52157	1	0	50
2141	100	52157	3	0	49
2140	100	52157	3	0	50
2139	100	52157	3	0	1
2138	102	314502	3	0	35.1
2137	100	314502	2	0	40
2136	100	452796	3	0	100
2135	101	439634	1	0	2000
2134	100	439634	1	0	500
2133	102	439634	2	0	500
2132	103	439634	3	0	500
2131	102	439634	3	0	500
2130	101	439634	1	0	500
2129	100	439634	2	0	500
2128	101	117615	1	0	20
2127	100	455909	3	0	68
2126	100	152326	3	0	3000
2125	102	117615	3	0	30
2124	103	117615	3	0	20
2123	100	117615	3	0	10
2122	103	152326	3	0	3000
2121	103	448226	2	0	2
2120	102	448226	2	0	2
2119	101	448226	2	0	2
2118	100	448226	2	0	2
2117	102	448226	3	0	333
2116	101	448226	1	0	222
2115	100	448226	3	0	333
2114	103	448226	3	0	222
2113	102	448226	1	0	222
2112	103	448226	3	0	111
2111	100	448226	3	0	111
2110	103	448226	3	0	222
2109	103	86030	1	0	250
2108	102	86030	1	0	1500
2107	101	86030	3	0	333
2106	103	86030	3	0	1000
2105	100	86030	3	0	1000
2104	102	68501	3	0	3000
2103	101	68501	1	0	2000
2102	100	68501	3	0	2000
2101	100	68501	3	0	990
2100	103	68501	3	0	5000
2099	102	68501	3	0	7000
2098	101	68501	1	0	3000
2097	100	68501	3	0	7000
